method,stage,mechanism,risk_level,poison_rate,train_size,clean_accuracy,attack_metric,attack_success,avg_l0_features,avg_linf,avg_l2,notes
Clean baseline,reference,none,none,0,360,0.6667,poisonous_to_edible_confusion,0.2708,,,,"Model=mobilenet_v3_small, pretrained=True, freeze_features=True; classes=['edible', 'poisonous']."
Random label flip,poisoning,M,R3,10.00%,360,0.5778,clean_accuracy_drop,0.0889,,,,36 labels changed.
Targeted label flip,poisoning,M,R2,35% of poisonous,360,0.7111,poisonous_to_edible_confusion,0.3125,,,,71 source labels changed.
Subpopulation label poison,poisoning,M,R2,80% of selected subgroup,360,0.5667,subpopulation_to_target_confusion,0.6842,,,,65 source-subgroup labels changed.
BadNets patch backdoor,poisoning,B,R1,25.00% appended,450,0.5778,trigger_ASR_to_edible,0.2941,,,,90 triggered source copies.
Clean-label patch backdoor,poisoning,B,R1,25.00% target-class copies,450,0.6111,trigger_ASR_to_edible,0.1714,,,,90 correctly labeled target images patched.
Sleeper Agent-style backdoor,poisoning,B,R1,40 appended,400,0.5667,stealth_trigger_ASR_to_edible,0.6296,,,,Clean-label target poisons optimized by gradient alignment to a low-amplitude trigger objective.
Clean-label Poison Frogs,poisoning,O,R1,60 appended,420,0.6333,poisonous_to_edible_confusion,0.3542,,,,Optimized edible clean-label poisons toward poisonous latent features with L-infinity projection.
Witches' Brew gradient match,poisoning,G,R2,40 appended,400,0.6889,poisonous_to_edible_confusion,0.25,,,,Clean-label poisons optimized so classifier-parameter gradients align with a poisonous-to-edible target objective.
FGSM,evasion,G,R3,0,360,0.6667,conditional_untargeted_misclassification,0.8571,76727.0,0.08,21.7891,Single-step gradient sign.
PGD,evasion,G,R2,0,360,0.6667,conditional_untargeted_misclassification,1.0,76755.86,0.1,15.5613,Projected gradient ascent.
Elastic Net EAD,evasion,O,R2,0,360,0.6667,conditional_targeted_ASR_to_edible,0.0286,1304.94,0.0039,0.0227,Targeted ISTA-style elastic-net update.
JSMA saliency,evasion,M,R3,0,360,0.6667,conditional_targeted_ASR_to_edible,0.9375,134.25,0.9539,6.1782,Vectorized sparse-feature saliency using input Jacobian.
SparseFool-style boundary,evasion,M,R4,0,360,0.6667,conditional_untargeted_misclassification,0.0625,41.81,0.889,3.4464,Vectorized sparse local-boundary crossing approximation.
Adversarial patch,evasion,U,R2,0,360,0.6667,conditional_targeted_ASR_to_edible,0.2857,3071.34,0.9744,24.2898,EOT-trained patch with random training locations; evaluated lower-right.
ZOO finite difference,evasion,O,R3,0,360,0.6667,conditional_targeted_ASR_to_edible,0.125,565.38,0.075,0.9213,Batched black-box finite differences; 9159 model queries.
HopSkipJump-style boundary,evasion,O,R3,0,360,0.6667,conditional_targeted_ASR_to_edible,0.6875,76407.56,0.6702,64.7771,Decision-only binary search to target-class guide images.
