id,technique,family,domain,poison_object,goal,attacker_access,impact,stealth,scalability,cost_efficiency,danger_score,risk_level,why_it_matters,primary_source
A01,Random label flipping,Availability poisoning,Supervised ML,Training labels,Degrade overall accuracy,Can submit or corrupt labels,3,1,5,5,75,R4 Low,Easy classroom baseline but usually visible in validation metrics,https://doi.org/10.1609/aaai.v29i1.9569
A02,Targeted label flipping,Targeted integrity poisoning,Supervised ML,Training labels,Bias one class or target region,Can submit or corrupt labels,4,2,4,5,160,R3 Moderate,More realistic than random flipping when labels come from weak or crowd sources,https://doi.org/10.1609/aaai.v29i1.9569
A03,Outlier injection poisoning,Availability poisoning,Supervised ML,Training samples,Shift decision boundary or increase error,Can add training records,3,2,4,4,96,R4 Low,Useful as a simple demonstration of training-set contamination,https://proceedings.neurips.cc/paper/2017/hash/9d7311ba459f9e45ed746755a32dcd11-Abstract.html
A04,SVM poisoning,Availability poisoning,Classical ML,Training samples,Increase SVM test error,White-box or model-aware data injection,3,2,2,2,24,R4 Low,Foundational example of optimized poisoning against a learner,https://icml.cc/2012/papers/880.pdf
A05,Bilevel/KKT optimal poisoning,Optimization poisoning,SVM logistic regression linear regression,Training samples,Force attacker-preferred model,White-box or strong model knowledge,4,3,2,2,48,R4 Low,Formalizes training-set attacks as bilevel optimization,https://ojs.aaai.org/index.php/AAAI/article/view/9569
A06,Regression poisoning,Availability/integrity poisoning,Regression systems,Training samples and labels,Manipulate numeric predictions,Model-aware data injection,4,2,3,3,72,R4 Low,Important for finance forecasting risk scoring and sensor calibration,https://doi.org/10.1109/SP.2018.00057
A07,Autoregressive time-series poisoning,Forecasting poisoning,Time-series models,Initial values or training sequences,Pull forecasts toward target series,Influence time-series observations,4,3,3,3,108,R3 Moderate,Extends poisoning beyond iid classifiers into forecasting,https://doi.org/10.1609/aaai.v30i1.10237
A08,Collaborative-filtering poisoning,Recommender poisoning,Recommender systems,Ratings or interaction data,Promote or demote target items,Can create user/item interactions,4,3,5,4,240,R2 High,Recommenders are exposed to public feedback and automated account activity,https://arxiv.org/abs/1608.08182
A09,Contextual-bandit reward poisoning,Sequential decision poisoning,Bandits/recommenders,Offline rewards,Force target arm for target context,Can alter logged rewards,4,3,4,3,144,R3 Moderate,Targets adaptive recommendation and decision systems,https://arxiv.org/abs/1808.05760
T01,Clean-label feature collision,Targeted integrity poisoning,Computer vision transfer learning,Correctly labeled poison images,Misclassify one target instance,Can add clean-looking samples,4,4,3,3,144,R3 Moderate,Stealthier because labels remain correct,https://papers.neurips.cc/paper/7849-poison-frogs-targeted-clean-label-poisoning-attacks-on-neural-networks
T02,Gradient-matching clean-label poisoning,Targeted integrity poisoning,Deep vision models,Perturbed training images,Cause targeted misclassification from scratch,Can modify a small fraction of data,5,4,4,3,240,R2 High,Shows targeted clean-label poisoning can scale to modern deep training,https://arxiv.org/abs/2009.02276
T03,Subpopulation poisoning,Targeted integrity poisoning,Large diverse datasets,Subpopulation samples,Fail on a natural subgroup without test trigger,Can poison subgroup-like samples,4,4,4,4,256,R2 High,Harder to notice because global accuracy can stay high,https://arxiv.org/abs/2006.14026
T04,Fairness poisoning,Metric-targeted poisoning,Fair ML systems,Training samples,Increase disparity while preserving accuracy,Can inject crafted records,4,4,4,3,192,R3 Moderate,Attacks can target fairness metrics instead of only accuracy,https://doi.org/10.1007/978-3-030-67658-2_10
T05,Convex/bullseye polytope poisoning,Targeted integrity poisoning,Computer vision transfer learning,Clean-label poison set,Enclose target in feature space,Can add selected poison images,4,4,3,2,96,R4 Low,Useful benchmark family for clean-label transfer settings,https://arxiv.org/abs/2006.12557
B01,BadNets visible-trigger backdoor,Backdoor poisoning,Vision classifiers,Triggered training examples,Trigger causes target label,Outsourced training or poisoned data,5,2,4,5,200,R2 High,Classic backdoor: high clean accuracy with trigger-specific failure,https://arxiv.org/abs/1708.06733
B02,Targeted blended backdoor,Backdoor poisoning,Vision/authentication models,Blended trigger samples,Hidden trigger maps inputs to attacker target,Can add poisoned examples,5,3,4,4,240,R2 High,Demonstrates training-data backdoors in security-sensitive recognition,https://arxiv.org/abs/1712.05526
